stage,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,val_cohen_kappa,val_auroc,val_auc_pr,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_cohen_kappa,learning_rate,epoch_time_sec,best_val_balanced_accuracy,best_test_balanced_accuracy,val_confusion_matrix,test_confusion_matrix
ft,0,1.4336233377335086,0.3560316245855649,1.2154627961635835,0.47655847501287996,0.4740942429075761,0.46058532028350524,0.46287124628480847,0.3456097701801646,0.0,0.0,,,,,,,2.2143506734794386e-05,140.83713173866272,0.4740942429075761,,"[[231, 58, 17, 39, 51], [73, 126, 43, 55, 91], [45, 75, 102, 99, 77], [13, 18, 25, 322, 22], [41, 110, 41, 23, 144]]",
ft,1,1.1882888924279182,0.4891609283346085,1.1505303478683164,0.5038639876352395,0.4997216142778118,0.4997778095327107,0.502457944794544,0.3785797565827028,0.0,0.0,,,,,,,2.2143506734794386e-05,144.36896204948425,0.4997216142778118,,"[[178, 70, 84, 38, 26], [23, 111, 156, 26, 72], [10, 47, 249, 64, 28], [3, 7, 76, 309, 5], [8, 84, 126, 10, 131]]",
ft,2,1.1604842942688673,0.495026778882938,1.1537178821750427,0.5110767645543535,0.5129834374157853,0.4907432721277402,0.49137856784192896,0.39000971939590723,0.0,0.0,,,,,,,2.2143506734794386e-05,140.72208380699158,0.5129834374157853,,"[[210, 38, 40, 46, 62], [37, 64, 76, 47, 164], [10, 37, 148, 89, 114], [2, 5, 69, 315, 9], [23, 23, 46, 12, 255]]",
ft,3,1.1009639142302454,0.5355776587605203,1.1528770494927825,0.515713549716641,0.5107179660807748,0.5080003157999708,0.5107594798692815,0.392941035554343,0.0,0.0,,,,,,,2.2143506734794386e-05,116.49767112731934,0.5129834374157853,,"[[231, 41, 86, 28, 10], [69, 114, 138, 31, 36], [21, 52, 219, 78, 28], [3, 4, 65, 319, 9], [18, 88, 123, 12, 118]]",
ft,4,1.0722129952840693,0.5483295077786279,1.1986242372433222,0.5306543019062339,0.5330971349030671,0.5214155812957801,0.5227139518013717,0.4150984400428691,0.0,0.0,,,,,,,2.2143506734794386e-05,139.2257800102234,0.5330971349030671,,"[[224, 66, 18, 24, 64], [42, 100, 42, 19, 185], [29, 59, 137, 53, 120], [7, 12, 56, 305, 20], [23, 52, 16, 4, 264]]",
ft,5,1.04987461390026,0.5674572813057893,1.1560959531006771,0.5455950540958269,0.544115187847453,0.5467636420211537,0.5479816540438368,0.43166386420714187,0.0,0.0,,,,,,,2.2143506734794386e-05,149.20338559150696,0.544115187847453,,"[[221, 86, 48, 25, 16], [47, 153, 77, 29, 82], [9, 97, 181, 67, 44], [2, 8, 66, 317, 7], [24, 102, 35, 11, 187]]",
ft,6,1.039203106080434,0.5865850548329508,1.172471646117771,0.5461102524471921,0.5461597302744112,0.5401330156531976,0.5413328127480964,0.4330125859713121,0.0,0.0,,,,,,,2.2143506734794386e-05,139.0072419643402,0.5461597302744112,,"[[252, 47, 33, 11, 53], [65, 114, 91, 14, 104], [44, 55, 178, 50, 71], [19, 11, 60, 294, 16], [52, 45, 37, 3, 222]]",
ft,7,1.019068549172967,0.5955113491456261,1.1808305680905342,0.5682637815558991,0.5663981846702566,0.5729704967882185,0.5742651159734984,0.4598656104562835,0.0,0.0,,,,,,,2.2143506734794386e-05,136.97987341880798,0.5663981846702566,,"[[222, 100, 34, 24, 16], [36, 187, 79, 27, 59], [9, 100, 196, 57, 36], [4, 10, 65, 316, 5], [9, 115, 42, 11, 182]]",
ft,8,0.9904137653759826,0.6080081611833716,1.25339369273935,0.5703245749613601,0.5674529890946116,0.5654265392548139,0.5670555458240254,0.46214125589219657,0.0,0.0,,,,,,,2.2143506734794386e-05,141.0208044052124,0.5674529890946116,,"[[270, 52, 37, 22, 15], [85, 155, 85, 20, 43], [25, 74, 193, 62, 44], [8, 9, 56, 319, 8], [52, 90, 39, 8, 170]]",
ft,9,0.9679654710515307,0.6222902320836521,1.405292388521968,0.5507470376094796,0.5506446137065267,0.5417745004417271,0.5421283501926351,0.43835556890261196,0.0,0.0,,,,,,,2.2143506734794386e-05,115.2574360370636,0.5674529890946116,,"[[208, 25, 60, 47, 56], [30, 125, 75, 65, 93], [5, 59, 170, 109, 55], [1, 2, 51, 343, 3], [5, 41, 61, 29, 223]]",
