stage,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,val_cohen_kappa,val_auroc,val_auc_pr,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_cohen_kappa,learning_rate,epoch_time_sec,best_val_balanced_accuracy,best_test_balanced_accuracy,val_confusion_matrix,test_confusion_matrix
lp,0,1.6500396206974983,0.20049382716049383,1.6290673828125,0.21,0.20999999999999996,0.14515151515151517,0.14515151515151514,0.012499999999999956,0.0,0.0,,,,,,,0.0008,222.7801971435547,0.20999999999999996,,"[[4, 23, 0, 13, 0], [7, 19, 0, 13, 1], [3, 17, 0, 20, 0], [6, 14, 0, 19, 1], [6, 19, 0, 15, 0]]",
lp,1,1.6195824816823006,0.21876543209876542,1.6151904296875,0.2,0.2,0.16688163128443254,0.16688163128443254,0.0,0.0,0.0,,,,,,,0.0008,164.373028755188,0.20999999999999996,,"[[4, 27, 3, 4, 2], [4, 23, 7, 5, 1], [3, 27, 3, 5, 2], [8, 21, 1, 8, 2], [8, 22, 4, 4, 2]]",
lp,2,1.6186451110988855,0.22148148148148147,1.61370361328125,0.215,0.215,0.16157959687371454,0.1615795968737145,0.018750000000000044,0.0,0.0,,,,,,,0.0008,218.56771659851074,0.215,,"[[18, 8, 1, 0, 13], [26, 5, 0, 0, 9], [19, 7, 1, 0, 13], [23, 6, 1, 0, 10], [18, 2, 1, 0, 19]]",
lp,3,1.6129729356616735,0.23851851851851852,1.61513916015625,0.185,0.185,0.12509492093118393,0.12509492093118393,-0.018750000000000044,0.0,0.0,,,,,,,0.0008,159.7221212387085,0.215,,"[[3, 11, 23, 2, 1], [3, 5, 30, 1, 1], [4, 8, 27, 1, 0], [2, 8, 28, 2, 0], [5, 4, 31, 0, 0]]",
lp,4,1.608513381332159,0.22567901234567903,1.61765625,0.22,0.22000000000000003,0.18999585766616037,0.1899958576661604,0.025000000000000022,0.0,0.0,,,,,,,0.0008,382.823557138443,0.22000000000000003,,"[[1, 4, 8, 24, 3], [1, 6, 13, 19, 1], [1, 5, 11, 19, 4], [1, 3, 15, 21, 0], [2, 2, 14, 17, 5]]",
lp,5,1.600591143593192,0.24419753086419754,1.6154150390625,0.26,0.25999999999999995,0.19065828974919702,0.19065828974919705,0.07499999999999996,0.0,0.0,,,,,,,0.0008,260.347074508667,0.25999999999999995,,"[[1, 0, 2, 6, 31], [2, 0, 3, 5, 30], [2, 1, 7, 8, 22], [1, 0, 3, 11, 25], [2, 0, 2, 3, 33]]",
lp,6,1.5953547563403845,0.2562962962962963,1.60891845703125,0.22,0.22000000000000003,0.18012053047763726,0.1801205304776373,0.025000000000000022,0.0,0.0,,,,,,,0.0008,201.32730340957642,0.25999999999999995,,"[[3, 5, 18, 1, 13], [2, 3, 17, 2, 16], [2, 4, 17, 3, 14], [2, 5, 18, 2, 13], [2, 0, 18, 1, 19]]",
lp,7,1.5915565360337496,0.25555555555555554,1.607900390625,0.23,0.23000000000000004,0.20870815802704348,0.20870815802704346,0.03749999999999998,0.0,0.0,,,,,,,0.0008,200.68888974189758,0.25999999999999995,,"[[6, 3, 2, 25, 4], [7, 3, 5, 19, 6], [6, 3, 6, 21, 4], [8, 2, 3, 22, 5], [9, 1, 4, 17, 9]]",
lp,8,1.585900941863656,0.2669135802469136,1.6219189453125,0.265,0.265,0.2158982534322579,0.2158982534322579,0.08125000000000004,0.0,0.0,,,,,,,0.0008,295.9279351234436,0.265,,"[[3, 13, 1, 1, 22], [3, 9, 1, 2, 25], [2, 14, 5, 1, 18], [2, 10, 2, 4, 22], [2, 3, 2, 1, 32]]",
lp,9,1.5857415329664946,0.25753086419753085,1.604599609375,0.28,0.27999999999999997,0.2475141104356656,0.2475141104356656,0.09999999999999998,0.0,0.0,,,,,,,0.0008,296.94502782821655,0.27999999999999997,,"[[6, 5, 6, 8, 15], [4, 2, 3, 10, 21], [5, 2, 10, 9, 14], [8, 2, 3, 12, 15], [2, 0, 5, 7, 26]]",
lp,10,1.5852282978594303,0.2614814814814815,1.608173828125,0.265,0.265,0.2188607627054137,0.2188607627054137,0.08125000000000004,0.0,0.0,,,,,,,0.0008,202.99991130828857,0.27999999999999997,,"[[3, 15, 7, 1, 14], [2, 13, 3, 3, 19], [3, 11, 11, 2, 13], [7, 12, 6, 0, 15], [2, 7, 3, 2, 26]]",
lp,11,1.5839581489562988,0.2607407407407407,1.61412841796875,0.2,0.2,0.1614173789173789,0.1614173789173789,0.0,0.0,0.0,,,,,,,0.0008,199.75108695030212,0.27999999999999997,,"[[2, 23, 1, 12, 2], [3, 20, 2, 13, 2], [3, 23, 4, 9, 1], [3, 20, 2, 13, 2], [3, 24, 3, 9, 1]]",
lp,12,1.579341795295477,0.2671604938271605,1.60178955078125,0.275,0.275,0.2578468372065286,0.25784683720652857,0.09375,0.0,0.0,,,,,,,0.0008,200.23976707458496,0.27999999999999997,,"[[2, 12, 7, 7, 12], [2, 11, 6, 9, 12], [2, 11, 12, 6, 9], [1, 12, 5, 12, 10], [2, 9, 6, 5, 18]]",
lp,13,1.5742140877991915,0.2762962962962963,1.60123291015625,0.25,0.25,0.24297031644046801,0.24297031644046796,0.0625,0.0,0.0,,,,,,,0.0004,205.63748693466187,0.27999999999999997,,"[[3, 11, 8, 12, 6], [8, 8, 6, 14, 4], [6, 8, 14, 9, 3], [7, 9, 7, 16, 1], [5, 6, 9, 11, 9]]",
lp,14,1.5738609228283167,0.2797530864197531,1.6080615234375,0.245,0.24499999999999997,0.21228190151608578,0.21228190151608575,0.05625000000000002,0.0,0.0,,,,,,,0.0004,239.2023663520813,0.27999999999999997,,"[[4, 23, 8, 2, 3], [2, 24, 9, 1, 4], [2, 20, 13, 2, 3], [3, 22, 8, 6, 1], [3, 24, 7, 4, 2]]",
lp,15,1.571617504581809,0.2765432098765432,1.6064404296875,0.26,0.25999999999999995,0.2513905941241652,0.2513905941241652,0.07499999999999996,0.0,0.0,,,,,,,0.0004,247.99429869651794,0.27999999999999997,,"[[13, 5, 4, 16, 2], [11, 7, 3, 16, 3], [10, 5, 8, 15, 2], [12, 5, 4, 18, 1], [13, 5, 3, 13, 6]]",
lp,16,1.5670347083359957,0.28888888888888886,1.6073876953125,0.24,0.24,0.22398250360324834,0.22398250360324837,0.050000000000000044,0.0,0.0,,,,,,,0.0002,219.44531178474426,0.27999999999999997,,"[[5, 5, 11, 16, 3], [6, 5, 10, 15, 4], [6, 5, 14, 13, 2], [7, 4, 10, 18, 1], [5, 5, 12, 12, 6]]",
