stage,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,val_cohen_kappa,val_auroc,val_auc_pr,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_cohen_kappa,learning_rate,epoch_time_sec,best_val_balanced_accuracy,best_test_balanced_accuracy,val_confusion_matrix,test_confusion_matrix
ft,0,1.4541568332248265,0.25972222222222224,1.3755615234375,0.275,0.275,0.26403783108179,0.2640378310817901,0.033333333333333326,0.0,0.0,,,,,,,9.121812371454712e-05,55.80166268348694,0.275,,"[[24, 12, 48, 6], [14, 9, 59, 8], [19, 18, 46, 7], [9, 14, 47, 20]]",
ft,1,1.401925998263889,0.3111111111111111,1.3711046006944445,0.2777777777777778,0.2777777777777778,0.26707355612817624,0.26707355612817624,0.03703703703703709,0.0,0.0,,,,,,,9.121812371454712e-05,48.07219099998474,0.2777777777777778,,"[[13, 19, 51, 7], [7, 15, 56, 12], [5, 23, 46, 16], [3, 20, 41, 26]]",
ft,2,1.316446261935764,0.3736111111111111,1.3743570963541667,0.3,0.30000000000000004,0.2473294409984193,0.2473294409984193,0.06666666666666665,0.0,0.0,,,,,,,9.121812371454712e-05,55.80573534965515,0.30000000000000004,,"[[17, 65, 3, 5], [10, 69, 3, 8], [6, 71, 2, 11], [6, 61, 3, 20]]",
ft,3,1.1343502468532987,0.5375,1.3772040473090277,0.325,0.32499999999999996,0.30475847509911536,0.30475847509911536,0.09999999999999998,0.0,0.0,,,,,,,9.121812371454712e-05,55.792826652526855,0.32499999999999996,,"[[49, 17, 10, 14], [47, 11, 14, 18], [34, 25, 15, 16], [32, 6, 10, 42]]",
ft,4,0.8550829145643446,0.6666666666666666,1.4085506863064237,0.3611111111111111,0.3611111111111111,0.3575722939600468,0.35757229396004675,0.14814814814814814,0.0,0.0,,,,,,,9.121812371454712e-05,46.69885230064392,0.3611111111111111,,"[[29, 30, 19, 12], [21, 38, 13, 18], [15, 36, 20, 19], [11, 24, 12, 43]]",
ft,5,0.554529274834527,0.8111111111111111,1.643135748969184,0.3416666666666667,0.3416666666666667,0.333209566088547,0.333209566088547,0.12222222222222223,0.0,0.0,,,,,,,9.121812371454712e-05,12.362408638000488,0.3611111111111111,,"[[34, 42, 8, 6], [29, 42, 8, 11], [18, 47, 11, 14], [16, 29, 9, 36]]",
ft,6,0.3487701627943251,0.8902777777777777,1.772289636400011,0.36666666666666664,0.36666666666666664,0.37044161637103945,0.37044161637103945,0.15555555555555556,0.0,0.0,,,,,,,9.121812371454712e-05,53.38612675666809,0.36666666666666664,,"[[30, 32, 21, 7], [18, 42, 23, 7], [17, 38, 30, 5], [12, 24, 24, 30]]",
ft,7,0.19020501507653131,0.9472222222222222,2.1657012727525498,0.34444444444444444,0.34444444444444444,0.3526693494299128,0.3526693494299128,0.12592592592592589,0.0,0.0,,,,,,,9.121812371454712e-05,7.447660207748413,0.36666666666666664,,"[[24, 31, 31, 4], [13, 31, 33, 13], [14, 37, 34, 5], [9, 21, 25, 35]]",
ft,8,0.1199821498658922,0.9569444444444445,2.663060114118788,0.33611111111111114,0.3361111111111111,0.34245396702978886,0.34245396702978886,0.11481481481481481,0.0,0.0,,,,,,,9.121812371454712e-05,6.9736998081207275,0.36666666666666664,,"[[23, 38, 22, 7], [20, 32, 29, 9], [16, 36, 36, 2], [15, 24, 21, 30]]",
ft,9,0.06894781490166982,0.9777777777777777,3.146750736236572,0.3472222222222222,0.3472222222222222,0.35504685092821175,0.3550468509282118,0.12962962962962965,0.0,0.0,,,,,,,9.121812371454712e-05,6.591109991073608,0.36666666666666664,,"[[37, 33, 16, 4], [28, 30, 24, 8], [24, 35, 30, 1], [22, 25, 15, 28]]",
ft,10,0.04315626687473721,0.9888888888888889,3.464403846528795,0.33611111111111114,0.3361111111111111,0.33868303369269037,0.33868303369269037,0.11481481481481481,0.0,0.0,,,,,,,9.121812371454712e-05,10.808554410934448,0.36666666666666664,,"[[24, 32, 33, 1], [16, 29, 39, 6], [16, 29, 44, 1], [10, 19, 37, 24]]",
ft,11,0.02963991810878118,0.9875,3.494629404279921,0.34444444444444444,0.34444444444444444,0.34035986372010185,0.3403598637201019,0.12592592592592589,0.0,0.0,,,,,,,4.560906185727356e-05,12.319603443145752,0.36666666666666664,,"[[45, 15, 26, 4], [38, 14, 28, 10], [25, 26, 36, 3], [24, 12, 25, 29]]",
ft,12,0.012668527331617144,1.0,3.644541581471761,0.3388888888888889,0.3388888888888889,0.34507997617795194,0.3450799761779519,0.11851851851851847,0.0,0.0,,,,,,,4.560906185727356e-05,12.322034358978271,0.36666666666666664,,"[[33, 29, 22, 6], [24, 22, 33, 11], [18, 32, 35, 5], [19, 15, 24, 32]]",
ft,13,0.00600077576107449,0.9986111111111111,3.7000215106540257,0.34444444444444444,0.34444444444444444,0.34716368949406884,0.34716368949406884,0.12592592592592589,0.0,0.0,,,,,,,4.560906185727356e-05,12.315390586853027,0.36666666666666664,,"[[38, 24, 19, 9], [29, 21, 23, 17], [26, 31, 27, 6], [23, 16, 13, 38]]",
