stage,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,val_cohen_kappa,val_auroc,val_auc_pr,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_cohen_kappa,learning_rate,epoch_time_sec,best_val_balanced_accuracy,best_test_balanced_accuracy,val_confusion_matrix,test_confusion_matrix
lp,0,0.6679218292236329,0.6270833333333333,0.5670198440551758,0.8453125,0.8453125,0.8450761048963873,0.8450761048963873,0.690625,0.9076123046875,0.8830163561562981,,,,,,,0.00041250222539162244,45.4510281085968,0.8453125,,"[[283, 37], [62, 258]]",
lp,1,0.5622283935546875,0.7770833333333333,0.48220100402832033,0.859375,0.859375,0.8589286414044437,0.8589286414044437,0.71875,0.94396484375,0.9423000330478666,,,,,,,0.00041250222539162244,45.89259123802185,0.859375,,"[[257, 63], [27, 293]]",
lp,2,0.5033617337544759,0.7958333333333333,0.4255398750305176,0.8734375,0.8734375,0.8732440858243169,0.8732440858243169,0.746875,0.95453125,0.9565778681890327,,,,,,,0.00041250222539162244,47.80199885368347,0.8734375,,"[[267, 53], [28, 292]]",
lp,3,0.4728299458821615,0.8229166666666666,0.3909010887145996,0.878125,0.878125,0.8780487804878049,0.878048780487805,0.75625,0.9580371093750001,0.9620571070160371,,,,,,,0.00041250222539162244,45.79408526420593,0.878125,,"[[273, 47], [31, 289]]",
lp,4,0.44174989064534503,0.83125,0.3692558765411377,0.8671875,0.8671875,0.866914245313253,0.866914245313253,0.734375,0.9592333984375,0.9640976444517659,,,,,,,0.00041250222539162244,6.887924671173096,0.878125,,"[[263, 57], [28, 292]]",
lp,5,0.42460791269938153,0.834375,0.3548628091812134,0.8984375,0.8984375,0.8984174116463461,0.898417411646346,0.796875,0.961826171875,0.9669747869720868,,,,,,,0.00041250222539162244,50.097347259521484,0.8984375,,"[[292, 28], [37, 283]]",
lp,6,0.40356289545694984,0.846875,0.3341042518615723,0.8859375,0.8859375,0.8859149392335887,0.8859149392335887,0.771875,0.9625244140625,0.9678069482359661,,,,,,,0.00041250222539162244,4.478837251663208,0.8984375,,"[[279, 41], [32, 288]]",
lp,7,0.39115142027537025,0.84375,0.3251531720161438,0.8734375,0.8734375,0.8732440858243169,0.8732440858243169,0.746875,0.9626416015625,0.9680288149961142,,,,,,,0.00041250222539162244,3.584862232208252,0.8984375,,"[[267, 53], [28, 292]]",
lp,8,0.3810680150985718,0.8520833333333333,0.31919885873794557,0.878125,0.878125,0.8780666529882464,0.8780666529882464,0.75625,0.9615673828125,0.96685008691518,,,,,,,0.00041250222539162244,5.275555849075317,0.8984375,,"[[274, 46], [32, 288]]",
lp,9,0.3620517293612162,0.8604166666666667,0.3085204064846039,0.8828125,0.8828125,0.8827893211303993,0.8827893211303994,0.765625,0.9631005859375,0.968055173178385,,,,,,,0.00041250222539162244,7.128363609313965,0.8984375,,"[[278, 42], [33, 287]]",
lp,10,0.35878745317459104,0.8635416666666667,0.3063236355781555,0.8734375,0.8734375,0.8733010883299647,0.8733010883299647,0.746875,0.9629492187500001,0.9678916905543978,,,,,,,0.00020625111269581122,6.771721839904785,0.8984375,,"[[269, 51], [30, 290]]",
lp,11,0.35469797054926555,0.8729166666666667,0.30397008657455443,0.884375,0.884375,0.8843648367532302,0.8843648367532303,0.76875,0.9627636718749999,0.9673060577097843,,,,,,,0.00020625111269581122,6.995954275131226,0.8984375,,"[[280, 40], [34, 286]]",
lp,12,0.34675395091374717,0.871875,0.3004556655883789,0.878125,0.878125,0.8780666529882464,0.8780666529882464,0.75625,0.9629541015625,0.9675646034748927,,,,,,,0.00020625111269581122,6.861807107925415,0.8984375,,"[[274, 46], [32, 288]]",
