stage,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,val_cohen_kappa,val_auroc,val_auc_pr,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_cohen_kappa,learning_rate,epoch_time_sec,best_val_balanced_accuracy,best_test_balanced_accuracy,val_confusion_matrix,test_confusion_matrix
mlp,0,1.438241916232639,0.24305555555555555,1.3655192057291667,0.3,0.3,0.29607609744229535,0.2960760974422953,0.06666666666666665,0.0,0.0,,,,,,,0.001846342809481701,54.3234646320343,0.3,,"[[22, 14, 19, 35], [10, 16, 31, 33], [4, 13, 31, 42], [6, 12, 33, 39]]",
mlp,1,1.3906907823350694,0.3013888888888889,1.3895005967881944,0.2861111111111111,0.2861111111111111,0.1791224458444862,0.17912244584448622,0.04814814814814816,0.0,0.0,,,,,,,0.001846342809481701,10.576343059539795,0.3,,"[[16, 0, 2, 72], [3, 0, 2, 85], [0, 0, 1, 89], [2, 0, 2, 86]]",
mlp,2,1.389822048611111,0.2972222222222222,1.3655653211805556,0.30277777777777776,0.30277777777777776,0.2724234852001336,0.2724234852001336,0.07037037037037042,0.0,0.0,,,,,,,0.001846342809481701,51.15791058540344,0.30277777777777776,,"[[30, 26, 33, 1], [15, 30, 43, 2], [8, 36, 46, 0], [13, 32, 42, 3]]",
mlp,3,1.3772115071614583,0.3194444444444444,1.3768242730034723,0.2861111111111111,0.28611111111111115,0.23455107718530538,0.23455107718530535,0.04814814814814816,0.0,0.0,,,,,,,0.001846342809481701,12.316565752029419,0.30277777777777776,,"[[17, 58, 12, 3], [5, 68, 13, 4], [3, 68, 15, 4], [2, 66, 19, 3]]",
mlp,4,1.3525580512152777,0.33194444444444443,1.3907063802083333,0.3,0.3,0.26126782413046035,0.26126782413046035,0.06666666666666665,0.0,0.0,,,,,,,0.001846342809481701,12.414306402206421,0.30277777777777776,,"[[47, 27, 13, 3], [35, 42, 11, 2], [31, 44, 14, 1], [27, 41, 17, 5]]",
mlp,5,1.3492602878146702,0.33611111111111114,1.4070651584201388,0.29444444444444445,0.29444444444444445,0.25769841269841265,0.2576984126984127,0.059259259259259234,0.0,0.0,,,,,,,0.001846342809481701,11.519349813461304,0.30277777777777776,,"[[7, 7, 28, 48], [1, 14, 24, 51], [0, 8, 28, 54], [0, 7, 26, 57]]",
mlp,6,1.316064453125,0.3763888888888889,1.3843797471788195,0.30833333333333335,0.30833333333333335,0.2736900961867716,0.2736900961867716,0.07777777777777772,0.0,0.0,,,,,,,0.001846342809481701,57.15366172790527,0.30833333333333335,,"[[21, 51, 8, 10], [9, 65, 8, 8], [9, 63, 11, 7], [8, 60, 8, 14]]",
mlp,7,1.2708001030815972,0.40694444444444444,1.4062784830729167,0.3416666666666667,0.3416666666666667,0.3012112638280863,0.3012112638280863,0.12222222222222223,0.0,0.0,,,,,,,0.001846342809481701,49.73802471160889,0.3416666666666667,,"[[59, 2, 17, 12], [43, 5, 26, 16], [32, 5, 37, 16], [35, 5, 28, 22]]",
mlp,8,1.2444091796875,0.4388888888888889,1.3741902669270833,0.3388888888888889,0.3388888888888889,0.336751514848687,0.33675151484868693,0.11851851851851847,0.0,0.0,,,,,,,0.001846342809481701,6.728586673736572,0.3416666666666667,,"[[21, 25, 17, 27], [10, 33, 15, 32], [5, 28, 28, 29], [6, 30, 14, 40]]",
mlp,9,1.2346338907877603,0.4305555555555556,1.402376980251736,0.3111111111111111,0.3111111111111111,0.26949514523021895,0.269495145230219,0.08148148148148149,0.0,0.0,,,,,,,0.001846342809481701,6.939478397369385,0.3416666666666667,,"[[61, 14, 4, 11], [52, 16, 3, 19], [46, 23, 5, 16], [41, 18, 1, 30]]",
mlp,10,1.2291710747612847,0.42916666666666664,1.3883517795138889,0.35,0.35,0.34185869170389294,0.34185869170389294,0.1333333333333333,0.0,0.0,,,,,,,0.001846342809481701,52.681551456451416,0.35,,"[[35, 11, 19, 25], [19, 15, 32, 24], [10, 15, 41, 24], [16, 12, 27, 35]]",
mlp,11,1.1870574951171875,0.4638888888888889,1.416180419921875,0.3194444444444444,0.3194444444444444,0.3018819842673832,0.3018819842673832,0.09259259259259256,0.0,0.0,,,,,,,0.001846342809481701,6.749231815338135,0.35,,"[[30, 20, 7, 33], [20, 24, 6, 40], [14, 30, 11, 35], [11, 26, 3, 50]]",
mlp,12,1.1685964796278212,0.4875,1.4285868326822917,0.34444444444444444,0.34444444444444444,0.32259665784054364,0.32259665784054364,0.12592592592592589,0.0,0.0,,,,,,,0.001846342809481701,6.727488994598389,0.35,,"[[53, 14, 5, 18], [41, 25, 7, 17], [35, 25, 11, 19], [34, 18, 3, 35]]",
mlp,13,1.1648191663953993,0.4513888888888889,1.3999477810329861,0.34444444444444444,0.3444444444444444,0.33125771287535993,0.33125771287535993,0.12592592592592589,0.0,0.0,,,,,,,0.001846342809481701,12.306639194488525,0.35,,"[[36, 12, 22, 20], [26, 12, 33, 19], [11, 16, 46, 17], [17, 13, 30, 30]]",
mlp,14,1.1261993832058377,0.4791666666666667,1.4270836724175346,0.35,0.35,0.3478615369592813,0.34786153695928135,0.1333333333333333,0.0,0.0,,,,,,,0.001846342809481701,10.068964719772339,0.35,,"[[27, 27, 13, 23], [15, 31, 12, 32], [9, 24, 25, 32], [11, 24, 12, 43]]",
mlp,15,1.0957088894314235,0.5180555555555556,1.4487733629014756,0.3472222222222222,0.3472222222222222,0.34044027252629183,0.34044027252629183,0.12962962962962965,0.0,0.0,,,,,,,0.001846342809481701,6.949945449829102,0.35,,"[[19, 36, 13, 22], [9, 43, 11, 27], [5, 35, 24, 26], [7, 36, 8, 39]]",
mlp,16,1.0603935241699218,0.5402777777777777,1.465277099609375,0.3472222222222222,0.3472222222222222,0.3386953385847191,0.3386953385847191,0.12962962962962965,0.0,0.0,,,,,,,0.0009231714047408505,7.366068601608276,0.35,,"[[43, 27, 7, 13], [30, 38, 11, 11], [25, 35, 16, 14], [22, 36, 4, 28]]",
mlp,17,1.022159915500217,0.5527777777777778,1.5032569037543402,0.35,0.35,0.3452227433200943,0.3452227433200943,0.1333333333333333,0.0,0.0,,,,,,,0.0009231714047408505,7.592794418334961,0.35,,"[[37, 32, 11, 10], [20, 46, 14, 10], [11, 48, 20, 11], [13, 42, 12, 23]]",
mlp,18,1.0168274773491754,0.6,1.4675703260633681,0.35833333333333334,0.35833333333333334,0.360794674365843,0.36079467436584295,0.1444444444444445,0.0,0.0,,,,,,,0.0009231714047408505,48.29062056541443,0.35833333333333334,,"[[32, 24, 22, 12], [23, 30, 24, 13], [11, 29, 35, 15], [15, 26, 17, 32]]",
mlp,19,0.9796141306559245,0.5847222222222223,1.4920308430989584,0.3416666666666667,0.3416666666666667,0.3410611994266921,0.3410611994266921,0.12222222222222223,0.0,0.0,,,,,,,0.0009231714047408505,7.017857551574707,0.35833333333333334,,"[[28, 28, 15, 19], [17, 31, 17, 25], [8, 34, 23, 25], [10, 27, 12, 41]]",
mlp,20,0.9809380849202474,0.5972222222222222,1.527518547905816,0.3416666666666667,0.3416666666666667,0.3386791074668363,0.3386791074668363,0.12222222222222223,0.0,0.0,,,,,,,0.0009231714047408505,6.757745742797852,0.35833333333333334,,"[[39, 14, 26, 11], [26, 23, 31, 10], [14, 24, 37, 15], [19, 21, 26, 24]]",
mlp,21,0.9405552175309922,0.6194444444444445,1.5555033365885416,0.34444444444444444,0.34444444444444444,0.3439276230644703,0.3439276230644702,0.12592592592592589,0.0,0.0,,,,,,,0.0009231714047408505,7.849287033081055,0.35833333333333334,,"[[29, 23, 25, 13], [18, 34, 29, 9], [11, 28, 37, 14], [11, 30, 25, 24]]",
mlp,22,0.9457459237840441,0.5777777777777777,1.4920757717556423,0.3638888888888889,0.36388888888888893,0.36097249882521426,0.36097249882521426,0.1518518518518519,0.0,0.0,,,,,,,0.0009231714047408505,48.4929404258728,0.36388888888888893,,"[[37, 21, 11, 21], [22, 31, 9, 28], [11, 32, 21, 26], [14, 27, 7, 42]]",
mlp,23,0.8970860163370769,0.6347222222222222,1.5749464246961806,0.3472222222222222,0.3472222222222222,0.3439714981408901,0.3439714981408902,0.12962962962962965,0.0,0.0,,,,,,,0.0009231714047408505,11.551477193832397,0.36388888888888893,,"[[39, 14, 19, 18], [30, 20, 22, 18], [16, 26, 30, 18], [22, 16, 16, 36]]",
mlp,24,0.8783945984310574,0.6472222222222223,1.573601277669271,0.3638888888888889,0.3638888888888888,0.3635927729677729,0.3635927729677729,0.1518518518518519,0.0,0.0,,,,,,,0.0009231714047408505,12.223917961120605,0.36388888888888893,,"[[30, 26, 15, 19], [19, 39, 15, 17], [12, 36, 25, 17], [11, 33, 9, 37]]",
mlp,25,0.8630798763699001,0.6513888888888889,1.593179914686415,0.3611111111111111,0.36111111111111105,0.3618339192243367,0.3618339192243367,0.14814814814814814,0.0,0.0,,,,,,,0.0009231714047408505,12.482457637786865,0.36388888888888893,,"[[38, 26, 15, 11], [23, 36, 19, 12], [14, 32, 31, 13], [16, 36, 13, 25]]",
mlp,26,0.8701841698752509,0.6277777777777778,1.6070081922743056,0.3611111111111111,0.36111111111111105,0.356380080552266,0.356380080552266,0.14814814814814814,0.0,0.0,,,,,,,0.0009231714047408505,11.940609455108643,0.36388888888888893,,"[[48, 22, 10, 10], [34, 33, 11, 12], [19, 33, 24, 14], [25, 32, 8, 25]]",
mlp,27,0.852409405178494,0.6472222222222223,1.627652825249566,0.35833333333333334,0.35833333333333334,0.35857887011070144,0.3585788701107014,0.1444444444444445,0.0,0.0,,,,,,,0.0009231714047408505,11.706095218658447,0.36388888888888893,,"[[34, 23, 20, 13], [22, 37, 21, 10], [13, 31, 31, 15], [14, 28, 21, 27]]",
mlp,28,0.7768107255299886,0.7069444444444445,1.658987808227539,0.35833333333333334,0.35833333333333334,0.3547278513663107,0.35472785136631063,0.1444444444444445,0.0,0.0,,,,,,,0.00046158570237042525,11.033376932144165,0.36388888888888893,,"[[47, 19, 12, 12], [36, 27, 12, 15], [23, 26, 26, 15], [29, 23, 9, 29]]",
mlp,29,0.7785171826680501,0.6861111111111111,1.647263420952691,0.3527777777777778,0.3527777777777778,0.35012144655512645,0.35012144655512645,0.13703703703703707,0.0,0.0,,,,,,,0.00046158570237042525,6.56566047668457,0.36388888888888893,,"[[43, 17, 18, 12], [30, 24, 21, 15], [21, 22, 32, 15], [25, 24, 13, 28]]",
